Date,Open,High,Low,Close,Volume
2015-07-15,5111.11,5125.32,5088.12,5098.94,384201024
2015-07-16,5138.18,5163.18,5128.56,5163.18,382622752
2015-07-17,5196.11,5210.16,5183.23,5210.14,443208096
2015-07-20,5223.18,5231.94,5201.49,5218.86,390348704
2015-07-21,5219.2,5229.0,5196.3,5208.12,398157248
2015-07-22,5146.03,5184.74,5145.78,5171.77,444456096
2015-07-23,5180.33,5197.0,5137.64,5146.41,439503232
2015-07-24,5166.91,5167.54,5084.51,5088.63,474843456
2015-07-27,5055.92,5072.88,5032.69,5039.78,452917088
2015-07-28,5063.44,5097.69,5025.61,5089.21,475084320
2015-07-29,5097.86,5117.84,5080.04,5111.73,443575136
2015-07-30,5100.3,5135.65,5070.62,5128.78,432341824
2015-07-31,5148.18,5155.02,5122.37,5128.28,517898016
2015-08-03,5134.34,5143.08,5082.32,5115.38,411240160
2015-08-04,5110.96,5125.9,5092.46,5105.55,419373280
2015-08-05,5132.77,5175.26,5131.86,5139.94,452958400
2015-08-06,5146.62,5149.93,5035.41,5056.44,511218816
2015-08-07,5043.97,5055.56,5006.15,5043.54,465432768
2015-08-10,5081.72,5112.47,5081.11,5101.8,435821920
2015-08-11,5069.16,5089.33,5013.44,5036.79,451203712
2015-08-12,4994.52,5055.75,4945.79,5044.39,474104480
2015-08-13,5050.94,5071.46,5029.61,5033.56,376046912
2015-08-14,5025.92,5051.89,5012.61,5048.23,343628288
2015-08-17,5032.34,5092.69,5022.42,5091.7,360390432
2015-08-18,5082.18,5085.14,5054.97,5059.35,347367360
2015-08-19,5039.03,5060.93,4992.85,5019.05,399246528
2015-08-20,4973.49,4986.51,4877.49,4877.49,477701056
2015-08-21,4801.04,4856.75,4706.04,4706.04,716256576
2015-08-24,4351.61,4694.9,4292.14,4526.25,926378496
2015-08-25,4687.27,4689.54,4506.1,4506.49,657534976
2015-08-26,4633.51,4703.97,4530.03,4697.54,633104512
2015-08-27,4761.05,4818.71,4721.79,4812.71,590549248
2015-08-28,4792.11,4836.78,4788.38,4828.32,509589376
2015-08-31,4798.68,4824.61,4763.42,4776.51,498165024
2015-09-01,4673.61,4722.13,4614.91,4636.1,582683264
2015-09-02,4704.42,4749.98,4659.41,4749.98,472708416
2015-09-03,4763.1,4800.19,4721.91,4733.5,434443360
2015-09-04,4670.35,4712.67,4657.82,4683.92,378945152
2015-09-08,4769.72,4815.04,4754.89,4811.93,445733248
2015-09-09,4856.27,4862.88,4746.73,4756.53,460528864
2015-09-10,4749.96,4826.33,4746.52,4796.25,444144032
2015-09-11,4770.73,4822.34,4763.15,4822.34,396559232
2015-09-14,4831.98,4832.0,4791.08,4805.76,358082688
2015-09-15,4819.32,4872.35,4802.09,4860.52,353268256
2015-09-16,4860.44,4893.44,4848.15,4889.24,382588960
2015-09-17,4884.11,4960.87,4880.5,4893.95,444765248
2015-09-18,4828.71,4878.71,4819.09,4827.23,1362087424
2015-09-21,4851.98,4881.46,4795.91,4828.95,453539424
2015-09-22,4762.29,4776.28,4716.91,4756.72,477773280
2015-09-23,4764.69,4780.64,4735.13,4752.74,365126208
2015-09-24,4717.89,4746.21,4670.12,4734.48,481385216
2015-09-25,4782.41,4785.22,4659.48,4686.5,501803040
2015-09-28,4665.06,4665.21,4529.41,4543.97,558003968
2015-09-29,4551.04,4596.06,4487.06,4517.32,548612160
2015-09-30,4574.38,4620.16,4559.18,4620.16,623884864
2015-10-01,4624.46,4628.23,4559.21,4627.08,501353632
2015-10-02,4566.13,4707.77,4552.34,4707.77,510636448
2015-10-05,4742.13,4785.91,4740.24,4781.26,490216832
2015-10-06,4767.63,4783.37,4711.79,4748.36,471984448
2015-10-07,4775.05,4791.15,4728.71,4791.15,522587648
2015-10-08,4775.06,4819.07,4737.93,4810.79,441396000
2015-10-09,4817.28,4841.38,4804.59,4830.47,404830720
2015-10-12,4839.79,4846.74,4818.16,4838.64,316993888
2015-10-13,4809.24,4858.28,4793.92,4796.61,354137664
2015-10-14,4801.35,4820.09,4771.62,4782.85,435242624
2015-10-15,4799.43,4870.1,4795.29,4870.1,445823392
2015-10-16,4872.36,4886.95,4851.28,4886.69,494940384
2015-10-19,4873.54,4915.49,4865.83,4905.47,380425600
2015-10-20,4900.02,4909.37,4866.6,4880.97,387512320
2015-10-21,4903.98,4904.85,4836.46,4840.12,431971616
2015-10-22,4875.96,4926.99,4861.8,4920.05,504997056
2015-10-23,5024.38,5048.55,4999.54,5031.86,509629248
2015-10-26,5030.8,5045.16,5012.74,5034.7,418687232
2015-10-27,5018.99,5040.08,5009.07,5030.15,455955936
2015-10-28,5040.38,5095.69,5019.6,5095.69,493383040
2015-10-29,5071.04,5084.63,5066.89,5074.27,426893344
2015-10-30,5079.76,5085.22,5053.75,5053.75,509292224
2015-11-02,5065.64,5130.51,5061.47,5127.15,427280000
2015-11-03,5114.31,5163.47,5109.68,5145.13,446936256
2015-11-04,5155.62,5162.57,5122.78,5142.48,466939968
2015-11-05,5144.15,5154.86,5098.49,5127.74,456548896
2015-11-06,5124.04,5147.12,5092.87,5147.12,471934976
2015-11-09,5128.94,5133.44,5066.1,5095.3,436179744
2015-11-10,5068.55,5086.89,5051.22,5083.24,432612704
2015-11-11,5098.12,5111.19,5066.68,5067.02,366714176
2015-11-12,5043.1,5062.49,5004.46,5005.08,395742656
2015-11-13,4980.86,4989.06,4925.35,4927.88,444546784
2015-11-16,4916.14,4984.91,4908.66,4984.62,416845600
2015-11-17,4991.71,5023.45,4975.74,4986.02,418584672
2015-11-18,5004.6,5078.8,5001.67,5075.2,451444352
2015-11-19,5078.68,5092.46,5067.27,5073.64,388346560
2015-11-20,5096.96,5112.46,5094.31,5104.92,429758976
2015-11-23,5106.72,5128.08,5084.85,5102.48,386566976
2015-11-24,5070.66,5110.75,5050.14,5102.81,417564064
2015-11-25,5106.87,5124.09,5101.18,5116.14,343283904
2015-11-27,5121.93,5134.35,5108.51,5127.52,189350016
2015-11-30,5139.58,5141.36,5098.7,5108.67,616312128
2015-12-01,5129.64,5156.31,5120.17,5156.31,463400064
2015-12-02,5158.82,5176.77,5117.15,5123.22,450132832
2015-12-03,5143.15,5144.6,5011.72,5037.53,486603744
2015-12-04,5050.93,5147.0,5043.49,5142.27,440750912
2015-12-07,5139.46,5139.78,5082.23,5101.81,436584960
2015-12-08,5050.52,5111.73,5045.73,5098.24,417622656
2015-12-09,5077.21,5106.36,5000.12,5022.86,442489568
2015-12-10,5026.3,5075.65,5019.31,5045.17,388233408
2015-12-11,4979.77,4996.19,4928.67,4933.47,475112864
2015-12-14,4932.61,4953.6,4871.59,4952.23,496828992
2015-12-15,4991.21,5026.54,4986.99,4995.36,449299072
2015-12-16,5033.48,5078.99,4992.63,5071.13,443739072
2015-12-17,5087.17,5088.57,5002.55,5002.55,427945664
2015-12-18,4982.58,4996.49,4921.33,4923.08,1522501632
2015-12-21,4957.53,4968.92,4928.93,4968.92,393915200
2015-12-22,4988.68,5007.77,4964.08,5001.11,346166592
2015-12-23,5025.55,5046.09,5020.44,5045.93,354599968
2015-12-24,5046.19,5063.28,5043.65,5048.49,172221888
2015-12-28,5032.29,5041.27,4999.07,5040.98,299287648
2015-12-29,5066.52,5116.99,5065.89,5107.94,296086304
2015-12-30,5101.18,5102.35,5065.69,5065.85,270262016
2015-12-31,5047.04,5058.06,5007.01,5007.41,384402880
2016-01-04,4897.65,4903.09,4846.98,4903.09,569791424
2016-01-05,4917.84,4926.73,4872.74,4891.43,428069088
2016-01-06,4813.76,4866.04,4804.69,4835.77,501751392
2016-01-07,4736.4,4788.02,4688.17,4689.43,590073280
2016-01-08,4722.02,4742.57,4637.85,4643.63,540571520
2016-01-11,4673.44,4683.02,4573.77,4637.99,528171648
2016-01-12,4681.54,4714.8,4618.03,4685.92,498552800
2016-01-13,4706.02,4713.98,4517.56,4526.06,570190784
2016-01-14,4545.37,4650.55,4470.59,4615.0,593865152
2016-01-15,4464.37,4520.45,4419.41,4488.42,739412672
2016-01-19,4548.05,4550.57,4430.77,4476.95,572070976
2016-01-20,4405.22,4514.92,4313.39,4471.69,716730176
2016-01-21,4480.7,4537.15,4432.02,4472.06,567899072
2016-01-22,4557.39,4591.18,4540.27,4591.18,523807072
2016-01-25,4574.6,4590.44,4514.78,4518.49,483485856
2016-01-26,4537.04,4583.21,4503.52,4567.67,461528864
2016-01-27,4548.87,4568.85,4450.83,4468.17,513422752
2016-01-28,4533.81,4533.81,4447.5,4506.68,545167744
2016-01-29,4512.09,4613.95,4511.3,4613.95,754583936
2016-02-01,4587.59,4636.93,4565.38,4620.37,480039520
2016-02-02,4588.69,4589.9,4503.12,4516.95,511638656
2016-02-03,4543.82,4547.32,4424.47,4504.24,577228032
2016-02-04,4492.48,4545.52,4463.99,4509.56,543896128
2016-02-05,4491.48,4493.19,4350.38,4363.14,636442176
2016-02-08,4288.02,4301.53,4212.81,4283.75,673868352
2016-02-09,4224.87,4329.61,4222.48,4268.76,579161728
2016-02-10,4318.28,4369.62,4280.73,4283.59,561081280
2016-02-11,4218.81,4293.22,4209.76,4266.84,688730560
2016-02-12,4307.29,4340.13,4274.15,4337.51,506312608
2016-02-16,4397.95,4435.95,4376.52,4435.95,553803392
2016-02-17,4471.66,4540.78,4463.51,4534.06,576507968
2016-02-18,4548.1,4548.47,4482.77,4487.54,472553632
2016-02-19,4464.67,4513.15,4455.1,4504.43,488377888
2016-02-22,4548.31,4576.47,4546.55,4570.61,427617440
2016-02-23,4550.05,4558.06,4500.94,4503.58,388340128
2016-02-24,4453.93,4547.64,4425.72,4542.61,452414336
2016-02-25,4554.73,4582.2,4516.89,4582.2,392231776
2016-02-26,4615.14,4618.85,4580.78,4590.47,438379488
2016-02-29,4585.3,4619.9,4557.46,4557.95,565968640
2016-03-01,4596.01,4689.6,4581.75,4689.6,507405504
2016-03-02,4683.8,4703.57,4665.93,4703.42,452446624
2016-03-03,4698.38,4707.72,4674.46,4707.42,444916512
2016-03-04,4715.77,4746.65,4687.94,4717.02,510766368
2016-03-07,4690.88,4731.19,4674.82,4708.25,486225472
2016-03-08,4676.22,4695.03,4642.86,4648.82,467108960
2016-03-09,4666.42,4676.47,4642.42,4674.38,410129952
2016-03-10,4691.2,4716.14,4607.99,4662.16,439519936
2016-03-11,4712.38,4748.79,4700.91,4748.47,416031424
2016-03-14,4733.39,4762.27,4731.51,4750.28,379761920
2016-03-15,4731.14,4735.27,4712.07,4728.67,397353216
2016-03-16,4717.88,4774.78,4716.45,4763.97,402685664
2016-03-17,4752.62,4788.09,4737.97,4774.98,435036032
2016-03-18,4784.63,4804.58,4772.41,4795.65,1144487552
2016-03-21,4787.31,4814.85,4785.38,4808.87,375797536
2016-03-22,4783.6,4835.6,4781.71,4821.66,373160288
2016-03-23,4813.87,4816.67,4765.37,4768.86,399919648
2016-03-24,4743.36,4773.51,4734.77,4773.51,383912928
2016-03-28,4785.25,4787.39,4760.01,4766.79,336931648
2016-03-29,4756.55,4849.31,4749.78,4846.62,453238112
2016-03-30,4875.46,4899.14,4859.35,4869.29,388829824
2016-03-31,4869.57,4891.3,4864.41,4869.85,452453056
2016-04-01,4842.55,4917.09,4832.06,4914.54,443366528
2016-04-04,4911.22,4917.75,4885.17,4891.8,386295616
2016-04-05,4855.9,4872.7,4838.62,4843.93,430349888
2016-04-06,4849.57,4921.51,4849.28,4920.72,402783648
